V080001,V085120,V085120a,V085121,V085121a,V085122,V085122a,V085123,V085123a
1255, //the house majority leader//no ,5, // vice president//no ,5," //he's a cabinet member I believe,i think bush just appointed him to something but i really don't know ",1," //he's a congressman ,a senator, a democrat//not sure ",1
1256, //i can't remember-i hate her//my sister would hate that i didn't know this//no ,1, vice president ,5, //i don not know//no clue ,1, //i do not know//no ,1
1257, i have no idea//i do not know who she is//no ,1, vice president of the us ,5, //i don't know him//no ,1, //i don't that either//no ,1
1258, //i've never ever heard that name before//no ,1, //i've heard that name but i don't have a clue who he is//no ,1," //don't you have a list i can choose a,b,or c-i have no ides//no ",1, //i don't know-i don't even have a guess//no ,1
1259, she''s the speaker of the house ,5, vice president ,5," //i wouldn't have a guess,i have no idea//no ",1, //i don't have any idea//no ,1
1260, //the head of --i don't know-she's the speaker of the house//n0 ,5, //vice president//no ,5, //i don't know right off the bat//i've heard the name but don't know//no ,5, //he's on the supreme court//no ,5
1261, speaker of the house ,5, vice president ,5, //i'd don't know//i wonder if he is the minority whip//no ,5, //he's on the supreme court ,5
1262, //she's the head cheese of the democratic party//no ,5, vice president ,5, //never heard of him//maybe on the supreme court//no ,1, //supreme court//not sure though//no ,5
1263, //don't ask me that//speaker of the house//i think//no ,5, //vice presiddent//no ,5, //don't know//is he a supreme court justice//no ,1, //don't know//no clue//no ,1
1264, governor of alaska ,5, vice president ,5, sec of treasury ,1, governor of state not known ,1
1265, //speaker of the house//no ,5, //vice president for a little while longer//no ,5, //he's the treasury secretary//no ,5, //i don't know//is he home land secuity-is he?//no ,5
1266, cant venture a guess ,1, vice president ,5, no guess ,1, no guess ,1
1267, speaker of the house ,5, vice president ,5, no clue as to who he is ,1, no clue as to who he is ,1
1268, speaker of the house ,1, vice president ,5, prime minister of england ,5, cabinet member ,1
1269, speaker of the house-third in line to the presidency ,5, vice president for the next few days ,5, he's the prime minister of Britan-very very intellegent but little carisma ,5, he is chief justice of the supreme court ,5
1270,,-2,,-2,,-2,,-2
1271, state secretary ,1, seat in the house of representatives ,1, dont have a guess ,1, dont have a guess  ,1
1272, speaker of the house ,5, vice president ,5, i dont know ,5, supreme court ,5
1273," //boy, i'm not sure//i don't know//i don't even have a guess ",1, //i don't know that either/i don't even have a guess//no ,1," //again, i don't know//i don't have a guess//no the slightest idea//no ",1, //i don't know that either//no guess at all//no ,5
1274, house of representatives ,1, vice president ,5, governor ,1, secretary  ,1
1275, secretary ,1, vice president ,5, house of representatives ,1, senate ,1
1276, head of the democrats in the house/ majority leader ,5, vice president ,5, i dont know ,1, supreme court justice ,5
1277, congress ,1, vice president ,5, congress ,5, supreme court ,1
1278,,-2,,-2,,-2,,-2
1279, //she's from california i know but i don't know what her position is//no ,1, //vice president//no ,5, //don't know//no ,5, //i don't know//no ,1
1280, speaker of the house ,5, vice president ,5, political analyst on a news channel ,1, supreme court ,5
1281, house of representatives ,5, vice president ,1, dont know how to answer ,1, senator ,1
1282, speaker of the house ,5, vice president ,5, senate ,1, governor ,1
1283, congress ,1, dont have an answer ,1, secretary of state ,1, dont have an answer ,1
1284, speaker of the house ,5, vice president ,5, secretary of commerce ,1, assistant attorney general ,1
1285, speaker of the house ,5, vice president ,5, cabinet member ,5, chief justice of supreme court ,5
1286, speaker of the house ,5, vice president ,5, presidential press secretary ,5, supreme court judge ,5
1287, speaker of the house ,5, vice president ,5, dont have an answer ,1, dont have an answer ,1
1288, //speaker of the house//no ,5, //vice president//no ,5, //he is the prime minister of england//no ,5, //supremem court justice//no ,5
1289, i don't know ,1, don't know ,1, no clue ,1, don't know ,1
1290, don't know ,1, don't know ,1, don't know ,1, don't know ,1
1291, speaker of the house ,1, vice president ,1, i think he is prime minister of london ,1, supreme court ,1
1292, no idea ,1, vice president ,1, no clue// ,1, no idea// ,1
1293, don't know ,1, don't know ,1, don't know ,1, i have no idea ,1
1294, speaker of the house ,1, vice president ,1, don't know the guy ,1, don't know john roberts ,1
1295, speaker of the house ,1, sec. of state ,1, prime minister of london ,1, don't know ,1
1296, don't know ,1, vice president ,1, freeholder ,1, don't know ,1
1297, I can't remember//I do not know//oh my god I can't remember//no ,1, he is the vice president//no ,1, I don't know//no ,1, I don't know//no ,1
1298, I have no idea//no ,1, he is republican//I know what he does but I can not think right now//no ,1, don't know//no ,1, I have no idea//no ,1
1299, speaker//no ,1, vice president//no ,1, don't know ,1, I have no idea ,1
1300," she is head of the senate maybe//democratic leader lady, I do not know what to call her//no ",1, he is the vice president//no ,1, don't know ,5, don't know ,5
1301, I do not know who she is//no ,1, vice president//no ,1, I don't know that either//no ,1, I don't know//no ,1
1302, she is in congress//she is a speaker of the congress//she belongs to democratic party//she is from california//she was a house wife before I think//no ,1, he is our current vice president//belongs to the republican party//he worked for gas and oil companies before//if I am not mistaken he played a roll in reagons and bush sr adminstration//no ,1, I do not know ,1, I heard his name but I am not sure what he does//no ,1
1303, speaker of the house ,1, the vice president ,1, not sure ,1, he is in the supreme court ,1
1304,,-2,,-2,,-2,,-2
1305, she is speaker of the house//no ,1, he is vice president//no ,1, don't know ,1, supreme court judge//he is a chief justice//no ,1
1306, speaker of the house ,1, vice prsident ,5, clinton administration ,1, oral roberts son ,1
1307, speaker of the house ,5, vice president ,1, press secretary ,1, newsreporter ,5
1308, secretary ,1, vice president ,1, senator ,1, governor ,1
1309, congressman ,1, vice president ,1, congressman ,1, congressman ,1
1310, speaker of the house ,5, vice president ,5, senator ,5, senator ,5
1311, secretary of state ,1, vice president ,1, miltary affairs ,1, chief of staff ,1
1312," ""i think she is in the state govt""// ",1," ""vice president""// ",5," ""dont know""// ",1," ""dont know""// ",1
1313," ""cant remember""// ",1," ""vice presient""// ",5," ""dont know""// ",5," ""supreme court""// ",5
1314," ""speaker of the house//"" ",5," ""vice president""// ",5," ""dont kn ow//"" ",5," ""cant remember//"" ",5
1315," ""dont know""// ",1," ""dont know and no idea""// ",1," ""dont know him""// ",5," ""dont kn ow no idea""// ",1
1316," ""dont know""// ",1," ""dont know and no idea""// ",1," ""dont know""// ",5," ""dont know no idea""// ",1
1317,,-2,,-2,,-2,,-2
1318, DO NOT KNOW//SENATE//STOP ,1, VICE PRESIDENT ,5, US SENATE ,5, GOVERNER ,5
1319," ""dont know""// ",1," ""maybe senate""// ",1," ""not a clue""// ",5," ""dont know""// ",5
1320, DON'T KNOW//CONGRESS... SENATE ,1, VICE PRESIDENT ,5, SENATE? ,5, CONGRESS ,5
1321," ""speaker of house""// ",5," ""vice president""// ",5," ""press secretary""// ",1," ""dont know""// ",1
1322,,-2,,-2,,-2,,-2
1323," ""dont know""// ",5," ""dont know""// ",5," ""dont know""// ",5," ""dont know""// ",5
1324," ""dont know""// ",5," ""vice president""// ",5," ""dont know""// ",5," ""dont know""// ",5
1325," ""speaker of the house""// ",5," ""vp""// ",5," ""dont know""// ",1," ""dont know""// ",1
1326," ""dont know her""// ",5," ""never heard him""// ",5," ""cant remember""// ",5," ""dont know""// ",5
1327," ""dont know""// ",1," ""dont kn ow""// ",1," ""dont know""// ",5," ""dont know""// ",5
1328," ""dont know""// ",1," ""vp""// ",5," ""dont know""// ",5," ""dont know""// ",5
1329, DONT' KNOW//I DON'T KNOW WHAT TO TELL YOU// ,1, I DON'T KNOW//I DON'T KNOW//STOP ,1, I DON'T KNOW//NO GUESS//STOP ,1, I DON'T KNOW//I DON'T KNOW//STOP ,1
1330, DON'T KNOW//SECRETARY OF STATE//STOP ,1, VICE PRESIDENT ,5, DON'T KNOW//DON'T KNOW//NOTHING COMES TO MIND//STOP ,1, SECRETARY OF DEFENSE//STOP ,5
1331," ""party leader""// ",1," ""vp""// ",5," 'fema head""// ",1," ""dont know""// ",5
1332, DON'T KNOW//DON'T KNOW//STOP ,1, DON'T KNOW//DON'T KNOW//STOP ,1, DON'T KNOW//DON'T KNOW//STOP ,1, I DON'T KNOW//DON'T KNOW//STOP ,1
1333,,-2,,-2,,-2,,-2
1334," ""dont recognixe""// ",5," ""dont know""// ",5," ""dont know""// ",5," ""dont know""// ",5
1335," ""dont know""// ",1," ""vice president""// ",1," ""dont know""// ",1," ""dont know never heard of him""// ",5
1336," ""no clue""// ",1," ""congressman""// ",5," ""senator""// ",5," ""congressman""// ",5
1337," ""dont know""// ",1," ""dont know but have heard of him""// ",1," ""dont know""// ",5," ""dont know, not familiar""// ",1
1338," ""don't know//haven't ever heard the name//"" ",1," ""vice president// ",5," ""don't know//haven't heard that name//"" ",1," ""don't know//haven't heard the name//"" ",1
1339," ""have heard the name//don't know//"" ",1," ""don't know//don't know//"" ",1," ""don't know//sounds familiar//can't remember//"" ",1," don't known//don't know//"" ",1
1340,,-2,,-2,,-2,,-2
1341," ""Don't know//treasury?//senator?//don't know//"" ",1," ""vice president//"" ",1," ""don't know//don't know//don't know//"" ",1," ""don't know//don't know//chief justice of the supreme court//"" ",1
1342," I DON'T KNOW MUCH ABOUT THIS//I DON'T KNOW, I HEARD HER NAME, BUT I DON'T KNOW//STOP ",1, VICE PRESIDENT ,5, DON'T KNOW//I REALLY DON'T KNOW//STOP ,1, DON'T KNOW//I DON'T KNOW//STOP ,1
1343," ""democrat//no//"" ",1," ""don't know//"" ",1," ""don't know//no//"" ",1," ""don't know//no//"" ",1
1344," ""don't know//don't know//no idea//"" ",1," ""vice president//"" ",5," ""don't know//don't know//no idea//"" ",1," ""don't know//don't know//chief justice of supreme court//"" ",1
1345," ""i've seen her//don't know what her title is//"" ",1," ""vice president//"" ",1," ""don't know//my memory is bad because of my accident//"" ",1," ""don't know//don't know//"" ",1
1346, SPEAKER OF THE HOUSE ,5, VICE PRESIDENT ,5, NEVER HEARD OF HIM//I HAVE NEVER EVER HEARD OF HIM//STOP ,5, TOTAL BLANK//TELE EVANGELIST//STOP ,1
1347," ""don't know// haven't heard of her//"" ",1," ""vice president//"" ",5," ""don't know//haven't heard of him//"" ",1," ""don't know//heard the name, can't place//"" ",1
1348," ""don't know//house speaker//"" ",1," ""vice president//"" ",5," ""don't know//don't know//PM england//"" ",1," ""don't know//chief justice of supreme court//"" ",1
1349," ""don't know//heard the name but don't know//"" ",1," ""don't know//vice president//"" ",1," ""don't know//"" ",1," ""don't know//"" ",1
1350," ""don't know.//don't know//none//"" ",1," ""don't know//oh yes, vice president//"" ",1," ""don't know//don't know//none//"" ",1," ""don't know//don't know// none//"" ",1
1351,,-2,,-2,,-2,,-2
1352, DON'T KNOW//NO//STOP ,1, DON'T KNOW//DON'T KNOW//STOP ,1, DON'T KNOW//DON'T KNOW//STOP ,1, DON'T KNOW//DON'T KNOW NOTHING ABOUT THAT//STOP ,1
1353," ""don't know//treasurer//"" ",1," ""don't know//vice president//"" ",1," ""don't know//"" ",1," ""don't knoe//"" ",1
1354, I DON'T KNOW//REPUBLICAN? ,1, DEMOCRAT ,5, REPUBLICAN ,5, REPUBLICAN ,5
1355, I DON'T KNOW//I DON'T KNOW//STOP ,1, I DON'T KNOW//I DON'T KNOW//STOP ,1, I DON'T KNOW//I DON'T KNOW//STOP ,1, I DON'T KNOW//I DON'T KNOW//STOP ,1
1356," ""speaker of the house of representatives//"" ",5," ""vice president//"" ",5," ""don't know//don't know//"" ",1," ""don't know//chief justice of supreme court//' ",1
1357," ""i've heard of her//speaker of house of representatives//"" ",1," ""vice president//"" ",5," ""don't know//represents another country//head of england//"" ",1," ""i've heard the name//don't know//chief justice of supreme court//"" ",1
1358," ""don't know//familiar butdon't know//"" ",1," ""vice president//"" ",5," ""don't know//don't know//"" ",1," ""don't know//don't know//"" ",1
1359," ""speaker of the house of rep.//democrat//"" ",5," ""vice president//"" ",5," ""don't know//don't recognize name//prime minister of england//"" ",1," ""don't know//don't recognize name//chief justice of supreme court//"" ",1
1360," ""speaker of the house//"" ",5," ""vice president//"" ",5," ""DON'T KNOW//don't know//"" ",1," ""don't know//chief justice of supreme court//"" ",1
1361," ""don't know//"" ",1," ""don't know//"" ",1," ""don't know//"" ",1," ""don't know//"" ",1
1362," ""don't know//people want you to be afraid of her//she's head of something in washington//"" ",1," ""vice president//"" ",5," ""don't know//don't know//don't know//"" ",1," ""don't know//don't know//don't know//"" ",1
1363, DON'T KNOW//I HAVE NO IDEA//STOP ,1," DON'T KNOW, HE IS VERY IMPORTANT VERY HIGH UP// VICE PRESIDENT//STOP ",1, I DON'T KNOW//SENATE//STOP ,1, I DON'T KNOW//CONGRESS//STOP ,1
1364," ""house speaker//"" ",5," ""vice president//"" ",5," ""don't know//don't know//ambassador//"" ",1," ""don't know//chief justice of the Supreme Court//"" ",1
1365," ""dont know""// ",1," ""something in govt""// ",1," ""dont know""// ",1," ""dont know""// ",1
1366," ""don't know//has heard the name//I don't pay any attention because I don't care//"" ",1," ""I've heard the name , but don't know//I don't listen to that stuff//"" ",1," ""Don't know//don't listen//"" ",1," ""don't know//don't pay attention to any government//"" ",1
1367," ""dont know""// ",1," ""dont know""// ",1," ""dont know""// ",5," ""dont know him""// ",5
1368," ""in congress or the senate""// ",1," ""vp""// ",5," ""supreme  court""// ",1," ""senator""'// ",1
1369,,-2,,-2,,-2,,-2
1370," ""don't know//haven't heard the name//"" ",1," ""vice president//"" ",1," ""don't know//never heard the name//"" ",1," ""don't know//never heard the name//' ",1
1371,,-2,,-2,,-2,,-2
1372, DON'T KNOW WHO THAT IS//DON'T KNOW//STOP ,1, WHO IS HE//DON'T KNOW//STOP ,1, DON'T KNOW//STOP ,5, DON'T KNOW WHO HE IS//STOP  ,5
1373, SPEAKER  ,5, VICE PRESIDENT ,5, DON'T KNOW//SECRETARY OF TREASURY ,1, PASS//ADVISOR TO THE PRESIDENT ,5
1374," ""dont know her""// ",1," ""dont know""// ",1," ""no idea""// ",1," ""no idea""// ",5
1375," ""don't know//can't think of it//"" ",1," ""vice president//"" ",5," ""don't know//don't know//"" ",1," ""don't know//supreme court//"" ",1
1376,,-2,,-2,,-2,,-2
1377, secretary of state ,5, work for bush ,5, actor ,5, governor ,5
1378, speaker of the house ,5, treasurer ,1, supreme court judge ,1, house chair ,1
1379, senator ,1, senator ,5, representative ,5, senator ,1
1380, congresswoman ,1, <RF> ,5, <RF> ,5, <RF> ,5
1381, house speaker ,5, vice president ,5, congressman ,1, senator ,5
1382, house leader ,5, vice president ,5, in charge of the republican party ,1, senator ,1
1383, congress ,1, vice president ,5, legislator ,1, congress ,1
1384, majority leader ,5, vice president ,5, mayor ,1, mayor ,5
1385, senator ,1, senator ,5, congressman ,5, congressman ,5
1386, big wig in congress ,5, vice president ,5, congress ,1, senator ,5
1387, republican ,1, democrat ,5, republican ,5, republican ,1
1388, congress ,5, vice presidency ,5, senator ,1, chief justice of the supreme court ,5
1389, speaker of the house ,5, vice president ,5, treasurer ,1, secretary of the treasury ,1
1390, judge ,1, vice president ,5, senator ,1, congressman ,5
1391, secretary of state ,1, speaker of the house ,1, speaker of the senate ,1, supreme court justice ,1
1392, in charge of the house of representatives ,5, <RF> ,1, <RF> ,1, <RF> ,5
1393, speaker of the house ,1, vice president ,5, don't know// ,5, don't know//prime minister of Canada ,5
1394,,-2,,-2,,-2,,-2
1395, senate ,1, congress ,5, congress ,5, congress ,5
1396, treasurer ,1, vice president ,5, military overseer ,5, secretary of state ,5
1397,,-2,,-2,,-2,,-2
1398, speaker of the house ,5, vicew president ,5, fema guy ,5, head of the supreme court ,5
1399, speaker of thehouse ,5, vice president ,5, DC mayor ,1, chief justice of the supreme court ,5
1400, national security defense ,1, pentagon ,1, national defense ,1, ex military ,5
1401, I could not tell you// I don't // I have heard ,1, vice president ,5,  I could not tell you//  ,5, don't know// I couldn't tell you ,5
1402, house of representatives ,1, vice president ,5, chief of staff ,1, senator ,1
1403, secretary ,1, secretary ,1, secretary ,1, no good ,1
1404,,-2,,-2,,-2,,-2
1405, speaker of the house ,5, vice president ,5, prime minister in united kingdom ,5, chief justice of the us supreme court ,5
1406, speaker of the house ,5, vice president ,5, treasury secretary ,1, secretary of the interior ,5
1407, president of Congress ,5, Vice President ,5, Congress ,1, Congressman ,5
1408, speaker of the house ,5, vice president ,5, don't know//republican//don't know//no ,1, chief justice ,5
1409, don't know//can't say//no ,1, don't know the name of his title//congressman//no ,1, don't know//no ,1, i have no idea//senate//no ,1
1410,,-2,,-2,,-2,,-2
1411, bush's cabinet member ,1, vice president ,1, cabinet member ,1, state goverment ,1
1412, she the democratic majority leader in the democratic congress ,5, Vice President ,5," I don't know   , nonono i REALLY HAVE NO IDEA ",1," I DON'T KNOW, // HE THE FINANCIALL DUDE , THAT WOULD BE MY GUESS, I DON/'T KNOW ",1
1413,,-2,,-2,,-2,,-2
1414, speaker of the house ,5, vice president ,5, prime minister of current british ruling party. ,5, cjief justice of the supreme court ,5
1415," // I REMEMBER HER WELL, SHE WAS A SENETOR ",1, // VICE PRESIDENT ,1, DONT KNOW HIM // SECRETARY OF...I KNOW ITS NOT THAT..// I CAN'T THINK OF IT I'M BLANK SORRY ,1, THE CABINET ,5
1416, speaker of the house ,1, vice president ,5, <RF> ,5, supreme court ,5
1417," don't know, i remember the name // but i don't know what she does, advisor ",1, Vice President ,5, never heard that name // i really never heard that name ,5," oh lord, // i don't know / i have to see the face, i don't know ",1
1418,,-2,,-2,,-2,,-2
1419, senator ,1, vice president ,1," global, deals with the enviorment ",1," don't know , never heard of him ",1
1420, I DON'T KNOW//DON'T RECOGNIZE HER ,1, I DON'T KNOW // I DON'T KNOW ,1, I DON'T KNOW EITHER // I DON'T ,1, I DON'T KNOW // I DON'T KNOW ,1
1421, house speaker ,5, vice president ,5," Im not familiar with him at all , no ",1, he is one of the supreame court guys ,5
1422,,-2,,-2,,-2,,-2
1423," i forgot, pass on the quess ",1, he's still asst.vice president ,5, don't know him ,5, don't know him ,5
1424, speaker of the house ,5, Vice President ,5, Prime Minister of Great Britian ,5," // I just never heard that name before, he was probably in the house of representataives maybe ",1
1425," I know she's a very important figure, I know she has a very important job and alot of people don't like herxx ",1," I think he's um um um, I know he's somebody in govenment.  the name is familiar to me he has something to do with a high position ",1," I don't know him, xx don't recognize the name ",1, I don't recognize the name ,1
1426," No se,  ",1," El es el ""Vice Presidente"" ",1, No conosco ese nombre ,5, Yo he oido de el pero no te se decir cual es el cargo de el.   ,5
1427," speaker of the house, top congress woman, top dog ",5," he breaks the tide in the senate// yeah he Vice President ""no"" ",1," Prime Minister of  England // I don't know the guy, is this a trick question ",5, If he has a political job IT MUST NOT BE IMPORTANT BECAUSE I HAVE NOT HEARD OF HIM ,1
1428, No se quien es ,5, no lo reconosco ,5, no lo reconosco ,5," no lo reconosco, no se quien es ",1
1429, don't know ,1, vice president ,5, don't know ,1, don't know ,1
1430, speaker ,5, vice president ,5, prime minister of UK ,5, supreme court judge ,5
1431, i don't know ,1, vice president ,5, don't know ,1, don't know ,1
1432, speaker of the house. ,5, vice president ,5, no clue ,1, no clue ,1
1433, speaker of the house ,1, vice president ,5, prime minister of england ,1, senator ,5
1434, speaker of the house ,5, vice president ,5," don""t Know //secretary of defence.   ",1, senate ,1
1435, don't jnow ,5, vice president ,5, don't know ,1, don't know ,1
1436, she does not know but reconizes the name ,1, vice president ,5, don't know his name ,1, don't know at all ,1
1437, I HAVE NO IDEA ,1, vice president ,5, don't know ,1, don't know ,5
1438, I have no idea ,1, I have no idea ,1, don't know  ,1, i don't know him ,1
1439, attouney general ,5, vice president ,5, don't know ,1," don""t know ",1
1440, bushes secreatary ,1, chairman of something ,1, does not know asked is he black//. ,1," don""t know them by name ",1
1441, speaker of the house ,5, vice president ,5, does not know ,1, don't know ,1
1442, don't know ,1, vice president ,5, don't know ,1, don'y know ,1
1443,,-2,,-2,,-2,,-2
1444, speaker of the house ,5, vice president ,5, guess senate majority leader ,1, chief justice of supreme court ,5
1445, senate chair person  ,1, vice president ,5, in congress ,5, don't know ,1
1446, speaker of the houseb ,1, vice president ,5, secratery of state ,1, secretary of defence ,1
1447, don't know ,1, senate ,1, security ,1, cooradoor ,1
1448, speaker of the house ,5, departing vice president ,5, prime minister of england ,5, chief judge of the supreme court ,5
1449,,-2,,-2,,-2,,-2
1450,,-2,,-2,,-2,,-2
1451, speaker ,5, vice president ,5, minority leader ,5, don't know ,1
1452,  head of congress ,5, vice president ,5, democrat ,5, supreme court judge ,1
1453, speaker of the house ,5, vice pres ,5, don't know ,1, ? ,5
1454, speaker of the house ,5, vice president of US ,5," don""t know ",5, chief Justice of Supreme Court ,5
1455, speaker of the house ,5, vice president ,5, don't know ,5, chief justice  ,5
1456, speaker of the house ,1, vice president ,5, prme minister of england ,5, chief justice ,5
1457, she is the house speaker ,5, vice president ,5, defence attourney i don't know ,1, don't know ,1
1458, I have no ideal ,1, I really have no guess ,1, I don't know who he is ,1, I don't no who he is ,1
1459, speaker of the house ,5, vice president ,5, house jury ,1, supreme court justice ,5
1460, governer of AK ,1, senetor ,1, senetor ,1, senetor ,1
1461, //congresswoman ,1, vice president ,5, //senator ,1, //senator ,1
1462, dont have a clue ,1, sentor ,1, dont have an ideal ,1, dont follow these people have no ideal ,1
1463, congress ,1, secerty to defense ,5, i dont know ,1, I don't know ,1
1464, sente ,1, vice president ,1, congress ,1, governor ,1
1465, I would even guess ,1, I know of him but I dont know what position he holds ,1, I dont know hime ,1, I don't know him ,1
1466, DA ,1, vice president ,1, assemblyman ,1, sentor ,1
1467, //senate//no ,1, congress ,5, //never heard of him//have no idea//no ,1, assembly ,5
1468, I have no ideal ,1, sentor ,1, have never heard of him ,1, never heard of  ,1
1469, head of the democratic party in congress ,5, //vice president ,1, //something to do with congress ,1, //i really don't actually know no guess ,1
1470," //Government, I don't know. ",1, Vice President ,5, //i have no idea. ,1, //i have no idea. ,1
1471, speaker of the house ,5, vice president ,5, senator ,5, press secretary ,5
1472, speaker of the house ,5, vice president ,5, //senator ,1, //representative ,1
1473, congresswoman ,5, vice president ,5, //cleans toilets at the white house ,1, //congress ,1
1474, //public speaker ,1, //vice president ,1, //i have no guess ,1, //no guess none of these names soud familiar to me ,1
1475, congress//no ,1, Vice President of the US ,5, //senator ,1, //congressman ,1
1476, speaker of the house ,5, vice president ,5, senator ,1, //house of representatives ,1
1477, speaker of the house ,5, shotgun shell catcher//vice president ,1, //i have no idea ,1, //i don't have a guess ,1
1478, //senate ,1, congress ,5, senate ,5, //congress ,1
1479, speaker of the house ,5, vice president ,5, prime minister of england ,5, supreme court justice ,5
1480, //i don't even know what job she holds I have a little alzheimers ,1, //i don't have a guess ,1, //I've never heard of him I can't reemeber people ,1, //I just don't know ,1
1481, \\congress ,1, vice president ,5, //cannot recall ,5, //elected positions govener? ,1
1482, //I'm just not sure I didn't pay attention ,1, //vice president ,1, //secretary of state ,1, //treasury ,1
1483, house of representatives ,1, vice president ,5, //congress ,1, congress ,5
1484, //i have no idea ,1, //vice president ,1, //i have no idea ,1, //no guess I have no idea ,1
1485, //in law someplace but not a judge ,1, vice president ,5, //not a clue never heard of him ,1, //no guess  ,1
1486, speaker of the house ,5, vice president in charge of cutting thraots ,5, senator ,5, ny state congressman ,1
1487, //no guess ,1, //iknow he's helping the vice president ,1, //he's in mayfield he's a republican ,1, //no guess ,1
1488,,-2,,-2,,-2,,-2
1489,,-2,,-2,,-2,,-2
1490, i don't know//i think she's the redhead...the manhattan council woman//no ,1, vice president ,5, jersey city mayor ,5, don't know//no guess//no ,1
1491, speaker of the house ,5, vice-president ,5, prime minister of england ,5, chief justice supreme court ,5
1492, house speaker ,5, vice president ,5, don't know//chief of staff ,1, press secretary ,5
1493, leader of the house of representatives ,1, vice president ,5, secretary of the defense ,5, speaker of the house ,5
1494,,-2,,-2,,-2,,-2
1495,,-2,,-2,,-2,,-2
1496, not sure//can't think of it//no ,1, vice president ,5, not sure//secretary of state//no ,1, not sure//don't know//no ,1
1497, i know but i don't remember//speaker of the house?// ,1, vice president ,5, don't know//secy of defense???// ,1, don't know//never heard of him//not a clue ,1
1498, i don't remember//i don't know//no ,1, vice president ,5, i don't know//no guess ,1, never heard of him//no guess//no ,1
1499, don't know who she is//a governor???//no ,1," vice president, i think//i don't know//no ",5, i don't know//umm...senator??//no ,1, a senator ,1
1500, speaker of the house ,5, vice president ,5, chief of staff ,5, not familiar//press secretary ,1
1501, don't know//i don't know//no ,1, i don't know//i have no idea//no ,1," i don' know//sorry, i don't know//no ",1, no idea//i don't know//no ,1
1502, i don't know her//i don't know//i don't have a best guess//congresswoman or something//no ,1," i don't know//he could be vice president, he could be anybody//no ",1, i don't know//he could be a congressman or what//i don't know// ,1, i don't know who he is//is he a senator? I'm just guessing now//no ,1
1503," i don't know but i just saw her on the news//i know she's a very important person//i don't have a guess, i'm not going to lie//no ",1, vice president ,5, i don't know//i don't know him//i have no clue who he is...clueless!//no ,1, clueless//no best guess//never heard his name before//no ,1
1504, haven't the slightest idea//congress woman//no ,1, senate ,1, congressman ,5, senator ,5
1505, i don't know//i have no clue//no ,1, vice president ,5," i don't know//i don't know, only person i follow is barack//no ",1, don't know//i don't know//no ,1
1506, speaker of the house ,5, vice president ,5, not sure//i don't know...i could have said supreme court/senate/congress//i just don't know//no ,5, not sure//i don't remember the name//no ,5
1507, i forgot//i did...i forgot//is she the council person?//no ,1," girl, my mind is gone...i don't know//vice president, yeah he do//no ",1, isn't he the council?//budget//no ,1, ain't he district?//i forgot girl//no ,1
1508, speaker of the floor ,5, vice president ,5, i don't know//no guess//no ,1, don't know//no guess//no ,1
1509, speaker of the house ,1, vice president ,1, no clue//no best guess//no ,1, no clue//no guess//no ,1
1510, i don'tnow//can't remember//no ,1, vice president ,5, can't remember//no ,1, no idea//congressman//no ,1
1511, house speaker ,5, vice president ,5, u.s. senator ,1, u.s. senator ,5
1512, i do not remember ,1," ""somebody who is in a defense position//No"" ",1," "" I do not know him"" ",1," "" I really do not remmember// I am not very good with this..""//No."" ",1
1513, spoker woman at the house//she is democrat//strong woman//No. ,1, vicepresident//he is the most powerful vp in the history of US//No. ,1, i can't remmeber. ,1, i do not know// ,1
1514, THE  SPOKE WOMAN OF THE CONGRESS// I DO NOT KNOW// ,1," "" i do not know//No"" ",1," "" a state of congressman//I forgat the state//No"" ",1," ""I do not know//I  do not know// No"" ",1
1515, house speaker ,5, vice president ,5, don't know//senator ,1, don't know//congressman ,1
1516,,-2,,-2,,-2,,-2
1517, speaker of the house ,5, vice president ,5, senator ,5, senator ,5
1518, works with safety ,1, vice president ,1, education ,1, health ,1
1519, no idea//don't have a clue//no ,1, dont know//dont pay attention to politians//no ,1, dont know//dont know who these people are//no ,1, no idea//dont know//no ,1
1520, house of rep ,1, vice president ,5, senate ,5, senate ,1
1521, congress ,1, vice president ,5, politician ,1, politician ,1
1522, speaker of house ,1, vice president ,1, congressman ,1, supreme court ,1
1523, speaker of the house ,5, vice president ,5, secretary of state ,5, secretary of defense ,5
1524, i don't know//i have no idea//no ,1, vice president ,5, i have no idea//a congressman?  a senator?//no ,1, i don't know//i have no guess//no ,1
1525, i can't answer//i know the name but i don't rememember//i'd be lying//no ,1, vice president ,5, don't know who he is//is he flash gordon//no ,1," who's he? name sounds familiar//no, not a clue//no ",1
1526," i forgot//i keep hearing her name//assembly woman, i guess//i keep seeing her name at the poll//no ",1, i don't know//i forgot//congressman?//senator?//no ,1, i know who gordon brown is//an assemblyman?//no ,1, i'm just gonna say assemblyman//no ,5
1527, don't know//maybe nys governer?//no ,1, i don't know//no guess//no ,1, i don't know//no//no// ,1, i don't know//no guess//no ,1
1528, speaker of the house ,5, vice president ,5, don't know ,1," don""t know ",1
1529, i don't know ,1, vice president ,1, don't know ,5, don't know ,1
1530,,-2,,-2,,-2,,-2
1531, has no idea//supreme court justice//has no idea what she does//no ,1, Vice President ,5, never heard of the man//state representative//no ,1, never heard of these people//congressman?//no ,1
1532, doesn't know//she's not secretary of state is she?//no more guesses ,1, Vice President ,5, no clue//no guess ,1, doesn't know//no ,1
